frame,x_position, y_position,x_velocity,y_velocity
149, 77.48944415546976, 180.25466878522997, 7.382345340323354, 0.24763542987528808
150, 84.87299442081938, 180.5197770585832, 7.383550265349626, 0.26510827335323484
151, 92.17988302687496, 180.64740308088062, 7.30688860605558, 0.12762602229742015
152, 99.35379341680733, 180.8302448380228, 7.173910389932374, 0.182841757142171
153, 106.69324896367495, 180.99197234185584, 7.339455546867612, 0.161727503833049
154, 114.0789710976256, 181.115376934652, 7.385722133950651, 0.12340459279616312
155, 121.10944839739409, 181.20411261543876, 7.030477299768492, 0.08873568078675476
156, 128.57570222494297, 181.48255899875107, 7.466253827548883, 0.2784463833123141
157, 136.16074516743487, 181.6513303968207, 7.585042942491896, 0.16877139806962305
158, 143.36130880228558, 181.86990971574275, 7.20056363485071, 0.2185793189220533
159, 150.66621722438012, 181.85619627065424, 7.304908422094542, -0.013713445088512799
160, 157.9764030980799, 182.09153281329833, 7.310185873699794, 0.23533654264409165
161, 165.26208775849074, 182.0373821985658, 7.285684660410823, -0.05415061473252081
162, 172.55045146118286, 182.1362050086327, 7.2883637026921235, 0.09882281006687776
163, 179.98730075840538, 182.3950450911043, 7.436849297222523, 0.2588400824716075
164, 187.12854995037856, 182.49903525985943, 7.1412491919731735, 0.10399016875513212
165, 194.7173982022172, 182.76110815949934, 7.588848251838641, 0.262072899639918
166, 202.06364522280387, 182.77487560990568, 7.346247020586674, 0.013767450406334092
167, 209.168441519266, 182.74998911954935, 7.104796296462126, -0.024886490356323065
168, 216.51919991752735, 182.92266080874631, 7.350758398261348, 0.1726716891969602
169, 223.87776317939912, 182.99278008075513, 7.35856326187178, 0.07011927200881019
170, 230.68101123421596, 182.88722067107744, 6.803248054816834, -0.10555940967768151
171, 238.19329110156406, 183.04820528478203, 7.512279867348099, 0.16098461370458494
172, 244.55755748615462, 183.08434153222447, 6.3642663845905645, 0.03613624744244248
173, 247.32744292402546, 182.99914940049098, 2.7698854378708404, -0.08519213173349272
174, 248.00120291769764, 182.92519111490796, 0.6737599936721779, -0.07395828558301787
175, 248.83053464535288, 182.937758958398, 0.8293317276552443, 0.01256784349004647
176, 249.61015252284477, 182.9785476001102, 0.7796178774918872, 0.040788641712197204
177, 250.51106359797134, 182.98474697736273, 0.9009110751265723, 0.006199377252528393
178, 251.21117792875856, 182.97498408051004, 0.7001143307872155, -0.009762896852691938
179, 251.93932691987487, 182.9651596762913, 0.7281489911163135, -0.009824404218733207
180, 252.5356460218061, 182.9509410966634, 0.5963191019312148, -0.014218579627907957
181, 253.2729789254918, 183.00447221984504, 0.7373329036857115, 0.053531123181642215
182, 253.8959678618618, 182.98181435576012, 0.6229889363700067, -0.022657864084919765
183, 254.76071035643366, 183.04906797733312, 0.8647424945718569, 0.06725362157300196
184, 255.37532405681594, 183.07734099035937, 0.6146137003822787, 0.028273013026250737
185, 255.87082627630633, 183.089467387048, 0.4955022194903904, 0.012126396688614705
186, 256.461877465453, 183.06666786765348, 0.5910511891466399, -0.022799519394510526
187, 257.06153554968364, 183.02121057193912, 0.5996580842306685, -0.04545729571435686
188, 257.70353495155945, 183.01438768420095, 0.6419994018758075, -0.006822887738167083
189, 258.24574222609, 183.0113289767006, 0.54220727453054, -0.0030587075003438713
190, 258.8867304430819, 183.0372152122125, 0.6409882169919001, 0.02588623551187652
191, 259.10506503270824, 182.91859779128288, 0.21833458962635177, -0.11861742092960981
192, 259.37094904121375, 182.91156167316154, 0.265884008505509, -0.007036118121334312
193, 259.4902784830464, 182.80619039734108, 0.11932944183263317, -0.10537127582045969
194, 259.59109256991474, 182.66822117647723, 0.10081408686835402, -0.13796922086385166
195, 259.584998300124, 182.61067258658275, -0.00609426979070804, -0.05754858989448053
196, 259.5520691010445, 182.49433378921438, -0.032929199079546834, -0.11633879736837116
197, 260.0393173689974, 182.50847211032865, 0.4872482679529071, 0.014138321114273822
198, 260.086539253397, 182.51765001822233, 0.04722188439961883, 0.009177907893672455
199, 260.2294299622382, 182.5212627062488, 0.14289070884120747, 0.003612688026464639
200, 260.47119775283056, 182.47694432780867, 0.24176779059234832, -0.044318378440124206
201, 260.8907025927036, 182.42916944040599, 0.4195048398730137, -0.04777488740268154
202, 260.3523566748783, 182.18589175719273, -0.5383459178252679, -0.24327768321325038
203, 260.55177133973416, 182.11374161571538, 0.19941466485585124, -0.07215014147735133
204, 260.9190924447646, 182.10469087981153, 0.3673211050304417, -0.009050735903855411
205, 260.78455172095295, 182.0102491164054, -0.1345407238116536, -0.09444176340613808
206, 260.79751541385565, 182.00903694267913, 0.012963692902701496, -0.001212173726258925
207, 261.1288553268434, 182.0246156229837, 0.3313399129877439, 0.015578680304571435
208, 261.1810413959202, 181.95853572627442, 0.05218606907681078, -0.06607989670928305
209, 261.23764424667814, 181.80224965970388, 0.05660285075794036, -0.15628606657054434
210, 261.5316185169281, 181.80462549189443, 0.2939742702499757, 0.0023758321905518187
